Normal, Virus or Bacteria resnet18 trained model
Predictions : [0.23008434 0.5563826  0.21353303], Result : BACTERIA
Predictions : [0.22521229 0.5611946  0.21359313], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194166], Result : BACTERIA
Predictions : [0.21232678 0.5755314  0.21214175], Result : BACTERIA
Predictions : [0.21200232 0.57595134 0.21204637], Result : BACTERIA
Predictions : [0.21484706 0.5726674  0.21248552], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194157], Result : BACTERIA
Predictions : [0.21194144 0.57611626 0.21194223], Result : BACTERIA
Predictions : [0.2138867  0.57373995 0.21237338], Result : BACTERIA
Predictions : [0.2119502 0.5760759 0.2119739], Result : BACTERIA
Predictions : [0.21194124 0.5761146  0.21194418], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194163], Result : BACTERIA
Predictions : [0.21194142 0.5761162  0.21194236], Result : BACTERIA
Predictions : [0.21211344 0.5757919  0.21209466], Result : BACTERIA
Predictions : [0.21195292 0.57607085 0.21197623], Result : BACTERIA
Predictions : [0.21194945 0.5760823  0.2119683 ], Result : BACTERIA
Predictions : [0.2119415  0.5761166  0.21194191], Result : BACTERIA
Predictions : [0.21194145 0.5761164  0.21194208], Result : BACTERIA
Predictions : [0.21198188 0.57600933 0.21200874], Result : BACTERIA
Predictions : [0.21194145 0.57611626 0.2119423 ], Result : BACTERIA
Predictions : [0.21194343 0.5760984  0.21195821], Result : BACTERIA
Predictions : [0.21196407 0.57605124 0.21198466], Result : BACTERIA
Predictions : [0.21196029 0.57604945 0.21199037], Result : BACTERIA
Predictions : [0.21194142 0.5761128  0.21194583], Result : BACTERIA
Predictions : [0.21194562 0.57609695 0.21195738], Result : BACTERIA
Predictions : [0.2120512  0.57591414 0.21203467], Result : BACTERIA
Predictions : [0.2121794  0.5757205  0.21210013], Result : BACTERIA
Predictions : [0.21194203 0.57610434 0.21195367], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194164], Result : BACTERIA
Predictions : [0.21194609 0.57609594 0.21195799], Result : BACTERIA
Predictions : [0.21194845 0.5760873  0.21196426], Result : BACTERIA
Predictions : [0.21204591 0.5759311  0.21202295], Result : BACTERIA
Predictions : [0.21194157 0.5761169  0.21194157], Result : BACTERIA
Predictions : [0.2119414  0.5761159  0.21194267], Result : BACTERIA
Predictions : [0.2119415  0.5761166  0.21194188], Result : BACTERIA
Predictions : [0.21194595 0.5760928  0.21196122], Result : BACTERIA
Predictions : [0.21194126 0.57611495 0.21194385], Result : BACTERIA
Predictions : [0.21194147 0.57611644 0.21194203], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194157], Result : BACTERIA
Predictions : [0.21194716 0.57609016 0.2119627 ], Result : BACTERIA
Predictions : [0.21212588 0.57577384 0.21210034], Result : BACTERIA
Predictions : [0.21194321 0.576103   0.21195374], Result : BACTERIA
Predictions : [0.2119417  0.5761117  0.21194667], Result : BACTERIA
Predictions : [0.26353624 0.51920795 0.21725576], Result : BACTERIA
Predictions : [0.21194868 0.57608825 0.21196303], Result : BACTERIA
Predictions : [0.21194148 0.57611656 0.21194194], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194163], Result : BACTERIA
Predictions : [0.21194227 0.576105   0.21195276], Result : BACTERIA
Predictions : [0.21318977 0.57448846 0.21232176], Result : BACTERIA
Predictions : [0.21194154 0.576113   0.21194544], Result : BACTERIA
Predictions : [0.21194151 0.57611674 0.21194176], Result : BACTERIA
Predictions : [0.21194617 0.5760947  0.21195917], Result : BACTERIA
Predictions : [0.21194153 0.5761168  0.2119417 ], Result : BACTERIA
Predictions : [0.21341886 0.57427585 0.21230523], Result : BACTERIA
Predictions : [0.2137801  0.57382697 0.21239297], Result : BACTERIA
Predictions : [0.47806373 0.20075636 0.3211799 ], Result : NORMAL
Predictions : [0.21236293 0.5754663  0.2121708 ], Result : BACTERIA
Predictions : [0.2119415  0.5761166  0.21194188], Result : BACTERIA
Predictions : [0.21197346 0.5760246  0.21200192], Result : BACTERIA
Predictions : [0.2119413  0.5761151  0.21194361], Result : BACTERIA
Predictions : [0.21195106 0.5760771  0.21197183], Result : BACTERIA
Predictions : [0.21194145 0.5761164  0.21194212], Result : BACTERIA
Predictions : [0.21194144 0.5761145  0.21194401], Result : BACTERIA
Predictions : [0.21227537 0.5756049  0.21211977], Result : BACTERIA
Predictions : [0.43924615 0.16341282 0.397341  ], Result : NORMAL
Predictions : [0.23198919 0.554327   0.21368377], Result : BACTERIA
Predictions : [0.2119436  0.57610476 0.21195166], Result : BACTERIA
Predictions : [0.26692292 0.5152719  0.21780518], Result : BACTERIA
Predictions : [0.44177103 0.16438615 0.3938428 ], Result : NORMAL
Predictions : [0.21194156 0.57611686 0.21194169], Result : BACTERIA
Predictions : [0.21221362 0.575684   0.2121024 ], Result : BACTERIA
Predictions : [0.21219064 0.57571536 0.21209404], Result : BACTERIA
Predictions : [0.21283588 0.5748733  0.21229075], Result : BACTERIA
Predictions : [0.21194151 0.57611674 0.21194175], Result : BACTERIA
Predictions : [0.21194147 0.576114   0.2119446 ], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194157], Result : BACTERIA
Predictions : [0.21194138 0.5761149  0.21194375], Result : BACTERIA
Predictions : [0.2119414 0.5761159 0.2119427], Result : BACTERIA
Predictions : [0.21194142 0.57611454 0.21194406], Result : BACTERIA
Predictions : [0.27194703 0.5094408  0.21861215], Result : BACTERIA
Predictions : [0.21194145 0.5761165  0.21194199], Result : BACTERIA
Predictions : [0.271976   0.50929457 0.21872947], Result : BACTERIA
Predictions : [0.21333736 0.57437605 0.21228658], Result : BACTERIA
Predictions : [0.21195684 0.5760702  0.21197298], Result : BACTERIA
Predictions : [0.21197635 0.5760244  0.21199922], Result : BACTERIA
Predictions : [0.2126235  0.57517004 0.21220642], Result : BACTERIA
Predictions : [0.21212089 0.57582    0.2120591 ], Result : BACTERIA
Predictions : [0.21196344 0.5760517  0.21198489], Result : BACTERIA
Predictions : [0.22193827 0.56496996 0.21309178], Result : BACTERIA
Predictions : [0.2119537  0.57607466 0.21197163], Result : BACTERIA
Predictions : [0.21258704 0.57521564 0.21219738], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194163], Result : BACTERIA
Predictions : [0.21194151 0.57611674 0.21194172], Result : BACTERIA
Predictions : [0.21194714 0.5760925  0.21196035], Result : BACTERIA
Predictions : [0.21194139 0.5761152  0.21194337], Result : BACTERIA
Predictions : [0.21234733 0.575513   0.21213965], Result : BACTERIA
Predictions : [0.2184017  0.56887287 0.2127254 ], Result : BACTERIA
Predictions : [0.21262118 0.5751549  0.2122239 ], Result : BACTERIA
Predictions : [0.21206747 0.5758745  0.21205795], Result : BACTERIA
Predictions : [0.2119415 0.5761165 0.211942 ], Result : BACTERIA
Predictions : [0.22118899 0.5659454  0.21286568], Result : BACTERIA
Predictions : [0.21194133 0.5761143  0.21194442], Result : BACTERIA
Predictions : [0.21194132 0.57611483 0.21194376], Result : BACTERIA
Predictions : [0.21200229 0.57598054 0.21201715], Result : BACTERIA
Predictions : [0.2120148  0.57596165 0.21202354], Result : BACTERIA
Predictions : [0.21194136 0.5761112  0.21194738], Result : BACTERIA
Predictions : [0.2121086  0.57581496 0.21207647], Result : BACTERIA
Predictions : [0.22894469 0.557579   0.21347632], Result : BACTERIA
Predictions : [0.21194138 0.57611424 0.21194437], Result : BACTERIA
Predictions : [0.49799505 0.21772362 0.28428134], Result : NORMAL
Predictions : [0.21194151 0.57611674 0.21194178], Result : BACTERIA
Predictions : [0.21194172 0.57611144 0.21194677], Result : BACTERIA
Predictions : [0.21274269 0.5750249  0.21223246], Result : BACTERIA
Predictions : [0.21205351 0.5758996  0.21204688], Result : BACTERIA
Predictions : [0.2119414  0.57611614 0.2119425 ], Result : BACTERIA
Predictions : [0.5044011  0.2156421  0.27995676], Result : NORMAL
