Normal, Virus or Bacteria resnet34 trained model
Predictions : [0.51105005 0.19143105 0.29751897], Result : NORMAL
Predictions : [0.2205872  0.56271094 0.21670184], Result : BACTERIA
Predictions : [0.21275012 0.57495534 0.21229444], Result : BACTERIA
Predictions : [0.21380031 0.5733707  0.21282895], Result : BACTERIA
Predictions : [0.21226305 0.5756693  0.21206774], Result : BACTERIA
Predictions : [0.21249238 0.5753363  0.21217136], Result : BACTERIA
Predictions : [0.21342054 0.5739476  0.21263194], Result : BACTERIA
Predictions : [0.23032829 0.54693043 0.22274128], Result : BACTERIA
Predictions : [0.21554747 0.57067984 0.21377271], Result : BACTERIA
Predictions : [0.2174286  0.567733   0.21483837], Result : BACTERIA
Predictions : [0.23469612 0.5397512  0.22555266], Result : BACTERIA
Predictions : [0.21437903 0.5724856  0.2131353 ], Result : BACTERIA
Predictions : [0.21872447 0.5656825  0.2155931 ], Result : BACTERIA
Predictions : [0.21291836 0.5747048  0.21237685], Result : BACTERIA
Predictions : [0.21326832 0.57417846 0.21255329], Result : BACTERIA
Predictions : [0.21265556 0.5750957  0.21224868], Result : BACTERIA
Predictions : [0.21336946 0.57402515 0.21260543], Result : BACTERIA
Predictions : [0.21301623 0.5745579  0.21242587], Result : BACTERIA
Predictions : [0.21323523 0.57422805 0.21253666], Result : BACTERIA
Predictions : [0.21224265 0.57569855 0.2120588 ], Result : BACTERIA
Predictions : [0.22160125 0.56108713 0.2173117 ], Result : BACTERIA
Predictions : [0.21338879 0.57399637 0.21261476], Result : BACTERIA
Predictions : [0.21607123 0.56986326 0.21406549], Result : BACTERIA
Predictions : [0.21502665 0.57148725 0.21348602], Result : BACTERIA
Predictions : [0.46199426 0.23594578 0.30205998], Result : NORMAL
Predictions : [0.21377468 0.57340956 0.21281576], Result : BACTERIA
Predictions : [0.21775168 0.5672235  0.21502486], Result : BACTERIA
Predictions : [0.21461064 0.5721298  0.21325967], Result : BACTERIA
Predictions : [0.2129934  0.57459193 0.21241462], Result : BACTERIA
Predictions : [0.21299718 0.5745869  0.21241592], Result : BACTERIA
Predictions : [0.2277061  0.55121267 0.22108124], Result : BACTERIA
Predictions : [0.21241654 0.57544655 0.21213683], Result : BACTERIA
Predictions : [0.2566075  0.5032793  0.24011305], Result : BACTERIA
Predictions : [0.21336149 0.5740373  0.21260121], Result : BACTERIA
Predictions : [0.21664502 0.56896496 0.21438996], Result : BACTERIA
Predictions : [0.2128681  0.57477945 0.21235245], Result : BACTERIA
Predictions : [0.21773487 0.5672499  0.21501528], Result : BACTERIA
Predictions : [0.21209441 0.5759091  0.21199656], Result : BACTERIA
Predictions : [0.21725804 0.5680018  0.21474017], Result : BACTERIA
Predictions : [0.21250357 0.5753191  0.21217734], Result : BACTERIA
Predictions : [0.21602215 0.5699399  0.21403794], Result : BACTERIA
Predictions : [0.2536971  0.5081638  0.23813903], Result : BACTERIA
Predictions : [0.27290562 0.47591233 0.25118196], Result : BACTERIA
Predictions : [0.2225264  0.5596009  0.21787268], Result : BACTERIA
Predictions : [0.25206244 0.5109026  0.23703496], Result : BACTERIA
Predictions : [0.23149846 0.5450123  0.22348924], Result : BACTERIA
Predictions : [0.22925341 0.54868853 0.22205801], Result : BACTERIA
Predictions : [0.21228473 0.5756382  0.21207714], Result : BACTERIA
Predictions : [0.28088674 0.46248996 0.25662333], Result : BACTERIA
Predictions : [0.21326919 0.5741771  0.21255371], Result : BACTERIA
Predictions : [0.22126059 0.5616332  0.21710616], Result : BACTERIA
Predictions : [0.21418576 0.57278216 0.21303213], Result : BACTERIA
Predictions : [0.21360615 0.5736666  0.21272726], Result : BACTERIA
Predictions : [0.21252665 0.57528555 0.2121878 ], Result : BACTERIA
Predictions : [0.22195731 0.56051576 0.217527  ], Result : BACTERIA
Predictions : [0.21467923 0.57202405 0.21329676], Result : BACTERIA
Predictions : [0.21232705 0.57557696 0.21209599], Result : BACTERIA
Predictions : [0.22247978 0.55967593 0.21784428], Result : BACTERIA
Predictions : [0.215098   0.5713769  0.21352507], Result : BACTERIA
Predictions : [0.21299529 0.5745896  0.21241507], Result : BACTERIA
Predictions : [0.218463   0.5660975  0.21543948], Result : BACTERIA
Predictions : [0.23226607 0.54375213 0.22398183], Result : BACTERIA
Predictions : [0.2120335  0.5759937  0.21197279], Result : BACTERIA
Predictions : [0.21276562 0.5749323  0.21230218], Result : BACTERIA
Predictions : [0.2240328  0.5571723  0.21879494], Result : BACTERIA
Predictions : [0.21442702 0.5724122  0.21316083], Result : BACTERIA
Predictions : [0.22265777 0.5593894  0.21795277], Result : BACTERIA
Predictions : [0.27125314 0.4786862  0.2500607 ], Result : BACTERIA
Predictions : [0.21812613 0.5666313  0.21524249], Result : BACTERIA
Predictions : [0.21972275 0.5640927  0.21618465], Result : BACTERIA
Predictions : [0.21238555 0.57549167 0.21212284], Result : BACTERIA
Predictions : [0.21292704 0.5746917  0.2123812 ], Result : BACTERIA
Predictions : [0.22088273 0.5622381  0.2168792 ], Result : BACTERIA
Predictions : [0.21462311 0.5721105  0.21326631], Result : BACTERIA
Predictions : [0.21349087 0.5738412  0.21266793], Result : BACTERIA
Predictions : [0.21293402 0.574681   0.21238497], Result : BACTERIA
Predictions : [0.21389039 0.5732338  0.21287586], Result : BACTERIA
Predictions : [0.21400188 0.5730636  0.21293446], Result : BACTERIA
Predictions : [0.21285772 0.5747951  0.21234722], Result : BACTERIA
Predictions : [0.21245211 0.5753948  0.21215315], Result : BACTERIA
Predictions : [0.21545956 0.57081616 0.21372423], Result : BACTERIA
Predictions : [0.21228951 0.5756316  0.2120789 ], Result : BACTERIA
Predictions : [0.2185359 0.565982  0.2154821], Result : BACTERIA
Predictions : [0.21211492 0.57588017 0.2120049 ], Result : BACTERIA
Predictions : [0.2125534  0.5752464  0.21220027], Result : BACTERIA
Predictions : [0.21507762 0.5714088  0.21351364], Result : BACTERIA
Predictions : [0.22057867 0.5627247  0.21669663], Result : BACTERIA
Predictions : [0.21669306 0.56888956 0.21441735], Result : BACTERIA
Predictions : [0.21300006 0.5745822  0.21241774], Result : BACTERIA
Predictions : [0.21524414 0.5711509  0.21360496], Result : BACTERIA
Predictions : [0.21323487 0.57422906 0.21253611], Result : BACTERIA
Predictions : [0.21361355 0.5736553  0.21273117], Result : BACTERIA
Predictions : [0.21257567 0.5752136  0.21221073], Result : BACTERIA
Predictions : [0.21670558 0.56887007 0.21442436], Result : BACTERIA
Predictions : [0.21259014 0.5751921  0.21221781], Result : BACTERIA
Predictions : [0.22442673 0.5565359  0.2190373 ], Result : BACTERIA
Predictions : [0.21287687 0.5747661  0.21235701], Result : BACTERIA
Predictions : [0.21232547 0.5755793  0.21209517], Result : BACTERIA
Predictions : [0.21303561 0.57452875 0.21243562], Result : BACTERIA
Predictions : [0.21268867 0.57504636 0.21226506], Result : BACTERIA
Predictions : [0.2142664  0.5726587  0.21307494], Result : BACTERIA
Predictions : [0.22078963 0.5623872  0.21682318], Result : BACTERIA
Predictions : [0.22007614 0.5635283  0.21639563], Result : BACTERIA
Predictions : [0.21589953 0.57013166 0.21396887], Result : BACTERIA
Predictions : [0.21455148 0.5722208  0.21322769], Result : BACTERIA
Predictions : [0.21817815 0.5665491  0.21527272], Result : BACTERIA
Predictions : [0.21514577 0.57130325 0.21355098], Result : BACTERIA
Predictions : [0.22108959 0.5619069  0.21700348], Result : BACTERIA
Predictions : [0.21578044 0.5703171  0.21390244], Result : BACTERIA
Predictions : [0.21244265 0.5754092  0.2121482 ], Result : BACTERIA
Predictions : [0.21311575 0.5744081  0.21247615], Result : BACTERIA
Predictions : [0.21566968 0.5704897  0.2138406 ], Result : BACTERIA
Predictions : [0.2125296  0.5752817  0.21218868], Result : BACTERIA
Predictions : [0.22078511 0.5623946  0.21682036], Result : BACTERIA
Predictions : [0.2183093  0.5663414  0.21534932], Result : BACTERIA
Predictions : [0.23326421 0.5421107  0.22462513], Result : BACTERIA
Predictions : [0.21608846 0.5698363  0.21407521], Result : BACTERIA
Predictions : [0.2126225  0.5751443  0.21223326], Result : BACTERIA
Predictions : [0.21371718 0.5734976  0.21278527], Result : BACTERIA
Predictions : [0.21374834 0.57345027 0.21280144], Result : BACTERIA
Predictions : [0.21451563 0.5722758  0.2132085 ], Result : BACTERIA
Predictions : [0.21821429 0.5664915  0.21529424], Result : BACTERIA
Predictions : [0.21451563 0.5722758  0.2132085 ], Result : BACTERIA
Predictions : [0.22815889 0.5504748  0.22136626], Result : BACTERIA
Predictions : [0.21231553 0.57559377 0.21209073], Result : BACTERIA
Predictions : [0.22618227 0.55369157 0.22012615], Result : BACTERIA
Predictions : [0.2125526 0.5752475 0.2121999], Result : BACTERIA
Predictions : [0.21278603 0.5749017  0.2123122 ], Result : BACTERIA
Predictions : [0.2124123  0.57545334 0.2121344 ], Result : BACTERIA
Predictions : [0.21466823 0.5720409  0.21329083], Result : BACTERIA
Predictions : [0.22390528 0.5573781  0.21871659], Result : BACTERIA
Predictions : [0.24659477 0.52003723 0.23336805], Result : BACTERIA
