Normal, Virus or Bacteria resnet18 trained model
Predictions : [0.2207945 0.5641115 0.2150941], Result : BACTERIA
Predictions : [0.21189226 0.57586616 0.21224152], Result : BACTERIA
Predictions : [0.21207026 0.5754346  0.21249501], Result : BACTERIA
Predictions : [0.3375988  0.43779448 0.22460671], Result : BACTERIA
Predictions : [0.57035404 0.2146909  0.21495503], Result : NORMAL
Predictions : [0.21194318 0.57581985 0.21223696], Result : BACTERIA
Predictions : [0.21548219 0.57059336 0.21392444], Result : BACTERIA
Predictions : [0.21990603 0.56420076 0.21589327], Result : BACTERIA
Predictions : [0.21294463 0.57334226 0.2137131 ], Result : BACTERIA
Predictions : [0.21192032 0.5760211  0.21205859], Result : BACTERIA
Predictions : [0.21199729 0.57570934 0.21229337], Result : BACTERIA
Predictions : [0.21192195 0.5758343  0.21224383], Result : BACTERIA
Predictions : [0.21192864 0.576008   0.21206322], Result : BACTERIA
Predictions : [0.21190041 0.57576966 0.21232991], Result : BACTERIA
Predictions : [0.30359784 0.4793511  0.2170511 ], Result : BACTERIA
Predictions : [0.22787145 0.55696094 0.21516754], Result : BACTERIA
Predictions : [0.21298945 0.5741314  0.21287908], Result : BACTERIA
Predictions : [0.2509269  0.5272185  0.22185461], Result : BACTERIA
Predictions : [0.24471657 0.5339136  0.22136974], Result : BACTERIA
Predictions : [0.21196924 0.5748472  0.21318357], Result : BACTERIA
Predictions : [0.2771687  0.4971893  0.22564204], Result : BACTERIA
Predictions : [0.2122173 0.5750443 0.2127384], Result : BACTERIA
Predictions : [0.5712531  0.2144919  0.21425498], Result : NORMAL
Predictions : [0.21204385 0.5756599  0.21229632], Result : BACTERIA
Predictions : [0.21195793 0.57585585 0.2121862 ], Result : BACTERIA
Predictions : [0.53766745 0.23848748 0.22384506], Result : NORMAL
Predictions : [0.21190627 0.57585216 0.21224153], Result : BACTERIA
Predictions : [0.22421971 0.56012154 0.21565874], Result : BACTERIA
Predictions : [0.22479622 0.55801976 0.21718404], Result : BACTERIA
Predictions : [0.21193905 0.5761094  0.21195157], Result : BACTERIA
Predictions : [0.21289149 0.5733161  0.21379238], Result : BACTERIA
Predictions : [0.2146769  0.57024395 0.2150791 ], Result : BACTERIA
Predictions : [0.2190232  0.56465185 0.21632499], Result : BACTERIA
Predictions : [0.212449   0.57462585 0.2129251 ], Result : BACTERIA
Predictions : [0.22928253 0.5540795  0.21663803], Result : BACTERIA
Predictions : [0.21192536 0.5760637  0.21201092], Result : BACTERIA
Predictions : [0.24861434 0.52969944 0.2216862 ], Result : BACTERIA
Predictions : [0.25225222 0.5272835  0.22046435], Result : BACTERIA
Predictions : [0.21298201 0.57411814 0.21289986], Result : BACTERIA
Predictions : [0.21197423 0.57584053 0.21218513], Result : BACTERIA
Predictions : [0.21251412 0.5745275  0.21295834], Result : BACTERIA
Predictions : [0.2120169  0.57531875 0.21266428], Result : BACTERIA
Predictions : [0.21329658 0.57281    0.21389344], Result : BACTERIA
Predictions : [0.21368887 0.5728311  0.21348   ], Result : BACTERIA
Predictions : [0.25035104 0.53445554 0.2151935 ], Result : BACTERIA
Predictions : [0.21730725 0.5686657  0.214027  ], Result : BACTERIA
Predictions : [0.21196315 0.57584006 0.21219681], Result : BACTERIA
Predictions : [0.21191606 0.5759867  0.21209721], Result : BACTERIA
Predictions : [0.3681546  0.41077787 0.22106758], Result : BACTERIA
Predictions : [0.21843389 0.56668836 0.21487775], Result : BACTERIA
Predictions : [0.21252073 0.5747411  0.21273805], Result : BACTERIA
Predictions : [0.21382882 0.57286775 0.21330343], Result : BACTERIA
Predictions : [0.21250631 0.5744073  0.21308643], Result : BACTERIA
Predictions : [0.21524297 0.5711635  0.2135936 ], Result : BACTERIA
Predictions : [0.21297921 0.5741023  0.21291846], Result : BACTERIA
Predictions : [0.43184918 0.34846008 0.21969074], Result : NORMAL
Predictions : [0.21193185 0.5756028  0.21246527], Result : BACTERIA
Predictions : [0.25778398 0.5261391  0.21607697], Result : BACTERIA
Predictions : [0.2631597 0.5169997 0.2198406], Result : BACTERIA
Predictions : [0.21191171 0.5760003  0.21208803], Result : BACTERIA
Predictions : [0.21237175 0.57510674 0.21252146], Result : BACTERIA
Predictions : [0.23660235 0.5492878  0.21410976], Result : BACTERIA
Predictions : [0.35057643 0.41770053 0.23172301], Result : BACTERIA
Predictions : [0.21190728 0.5759435  0.21214917], Result : BACTERIA
Predictions : [0.21190205 0.575983   0.212115  ], Result : BACTERIA
Predictions : [0.55861443 0.22255832 0.21882723], Result : NORMAL
Predictions : [0.21247546 0.5746714  0.21285315], Result : BACTERIA
Predictions : [0.2581197  0.515692   0.22618832], Result : BACTERIA
Predictions : [0.21193928 0.5757273  0.21233338], Result : BACTERIA
Predictions : [0.5731775  0.21284759 0.21397483], Result : NORMAL
Predictions : [0.21319228 0.57328665 0.21352099], Result : BACTERIA
Predictions : [0.31763545 0.44964936 0.23271525], Result : BACTERIA
Predictions : [0.22045755 0.56542426 0.21411815], Result : BACTERIA
Predictions : [0.21391688 0.57283634 0.21324678], Result : BACTERIA
Predictions : [0.21663311 0.5683963  0.21497065], Result : BACTERIA
Predictions : [0.23088685 0.55254126 0.2165719 ], Result : BACTERIA
Predictions : [0.215285   0.56971616 0.21499878], Result : BACTERIA
Predictions : [0.21253845 0.5741445  0.2133171 ], Result : BACTERIA
Predictions : [0.3533129  0.41651627 0.23017083], Result : BACTERIA
Predictions : [0.215285   0.56971616 0.21499878], Result : BACTERIA
Predictions : [0.21238716 0.57485    0.21276274], Result : BACTERIA
Predictions : [0.23810677 0.5369147  0.22497852], Result : BACTERIA
Predictions : [0.2619041  0.5275778  0.21051808], Result : BACTERIA
Predictions : [0.21290712 0.57314795 0.21394494], Result : BACTERIA
Predictions : [0.21197058 0.5758807  0.21214865], Result : BACTERIA
Predictions : [0.23034775 0.54934794 0.22030422], Result : BACTERIA
Predictions : [0.5071287  0.27002773 0.22284357], Result : NORMAL
Predictions : [0.21193506 0.57608867 0.21197626], Result : BACTERIA
Predictions : [0.22424676 0.5590325  0.21672079], Result : BACTERIA
Predictions : [0.24760787 0.53246796 0.21992418], Result : BACTERIA
Predictions : [0.4856     0.2828264  0.23157358], Result : NORMAL
Predictions : [0.24324292 0.5376864  0.21907072], Result : BACTERIA
Predictions : [0.21196286 0.5754844  0.21255276], Result : BACTERIA
Predictions : [0.23154958 0.5517322  0.21671827], Result : BACTERIA
Predictions : [0.21449432 0.5714626  0.21404305], Result : BACTERIA
Predictions : [0.21470669 0.5710749  0.21421841], Result : BACTERIA
Predictions : [0.22284827 0.56209797 0.21505381], Result : BACTERIA
Predictions : [0.2119631  0.57578427 0.21225262], Result : BACTERIA
Predictions : [0.3826055  0.38246962 0.23492488], Result : NORMAL
Predictions : [0.5691124  0.21578833 0.21509922], Result : NORMAL
Predictions : [0.5749692  0.21175191 0.21327884], Result : NORMAL
Predictions : [0.21429436 0.5717298  0.21397586], Result : BACTERIA
Predictions : [0.21272786 0.57457083 0.21270125], Result : BACTERIA
Predictions : [0.21729825 0.5675985  0.21510315], Result : BACTERIA
Predictions : [0.21199471 0.5757204  0.21228491], Result : BACTERIA
Predictions : [0.21210246 0.5754615  0.21243605], Result : BACTERIA
Predictions : [0.5713394  0.21073449 0.21792611], Result : NORMAL
Predictions : [0.32175922 0.4684763  0.20976445], Result : BACTERIA
Predictions : [0.21194804 0.5753269  0.21272501], Result : BACTERIA
Predictions : [0.21238297 0.5747694  0.21284762], Result : BACTERIA
Predictions : [0.211887   0.57581306 0.21229999], Result : BACTERIA
Predictions : [0.21454658 0.5725748  0.21287867], Result : BACTERIA
Predictions : [0.2124536  0.5735723  0.21397413], Result : BACTERIA
Predictions : [0.21212512 0.57552844 0.21234642], Result : BACTERIA
Predictions : [0.21192086 0.5759808  0.21209837], Result : BACTERIA
Predictions : [0.21193026 0.57588416 0.21218558], Result : BACTERIA
Predictions : [0.21561155 0.5692381  0.21515034], Result : BACTERIA
Predictions : [0.23100601 0.55113864 0.21785533], Result : BACTERIA
Predictions : [0.34364137 0.43509305 0.2212656 ], Result : BACTERIA
Predictions : [0.21343404 0.57318926 0.21337672], Result : BACTERIA
Predictions : [0.21297285 0.5742619  0.21276519], Result : BACTERIA
Predictions : [0.21232305 0.5750884  0.2125886 ], Result : BACTERIA
Predictions : [0.21193957 0.575998   0.2120625 ], Result : BACTERIA
Predictions : [0.2119146  0.5760098  0.21207555], Result : BACTERIA
Predictions : [0.21204358 0.5756636  0.21229279], Result : BACTERIA
Predictions : [0.21193719 0.57610464 0.21195817], Result : BACTERIA
Predictions : [0.41740674 0.3841431  0.19845022], Result : NORMAL
Predictions : [0.23027466 0.5547906  0.2149348 ], Result : BACTERIA
Predictions : [0.21190952 0.57596827 0.21212219], Result : BACTERIA
Predictions : [0.5463638  0.23640648 0.21722977], Result : NORMAL
Predictions : [0.21818067 0.5675932  0.21422607], Result : BACTERIA
Predictions : [0.21202622 0.5755854  0.21238832], Result : BACTERIA
