Normal, Virus or Bacteria vgg16 trained model
Predictions : [0.00316243 0.00672489 0.99011266], Result : VIRUS
Predictions : [0.01939659 0.05649264 0.9241108 ], Result : VIRUS
Predictions : [0.8750207  0.09516761 0.02981171], Result : NORMAL
Predictions : [0.00803569 0.00740796 0.9845563 ], Result : VIRUS
Predictions : [0.04213104 0.05722382 0.90064514], Result : VIRUS
Predictions : [0.2880335  0.391209   0.32075754], Result : BACTERIA
Predictions : [0.90767384 0.06782825 0.02449791], Result : NORMAL
Predictions : [0.02199449 0.95294434 0.02506113], Result : BACTERIA
Predictions : [0.01720516 0.97607636 0.00671842], Result : BACTERIA
Predictions : [0.96306884 0.02367259 0.01325855], Result : NORMAL
Predictions : [0.06194574 0.00517435 0.93287987], Result : VIRUS
Predictions : [0.6346004  0.32547134 0.03992828], Result : NORMAL
Predictions : [0.08460023 0.8778743  0.03752546], Result : BACTERIA
Predictions : [9.9858874e-01 3.8881632e-04 1.0223932e-03], Result : NORMAL
Predictions : [0.14470676 0.840516   0.01477733], Result : BACTERIA
Predictions : [9.948585e-01 2.214488e-05 5.119354e-03], Result : NORMAL
Predictions : [0.49457482 0.47339314 0.03203202], Result : NORMAL
Predictions : [0.24642915 0.30714512 0.4464257 ], Result : VIRUS
Predictions : [9.9678874e-01 4.3896362e-04 2.7723794e-03], Result : NORMAL
Predictions : [9.9348408e-01 8.7882683e-04 5.6371856e-03], Result : NORMAL
Predictions : [0.74054533 0.00357091 0.25588375], Result : NORMAL
Predictions : [0.84685034 0.00108979 0.15205984], Result : NORMAL
Predictions : [0.86351    0.06498703 0.07150292], Result : NORMAL
Predictions : [9.9672735e-01 1.5906860e-04 3.1135743e-03], Result : NORMAL
Predictions : [0.2875456  0.66529554 0.04715884], Result : BACTERIA
Predictions : [0.82307994 0.14494881 0.03197123], Result : NORMAL
Predictions : [0.4538758  0.50675994 0.03936419], Result : BACTERIA
Predictions : [0.01975521 0.95616186 0.02408287], Result : BACTERIA
Predictions : [0.28772548 0.66777694 0.04449754], Result : BACTERIA
Predictions : [7.4837881e-01 5.6699413e-04 2.5105429e-01], Result : NORMAL
Predictions : [9.9719942e-01 2.5764320e-04 2.5429297e-03], Result : NORMAL
Predictions : [0.06860597 0.021705   0.909689  ], Result : VIRUS
Predictions : [0.17573652 0.00595524 0.81830823], Result : VIRUS
Predictions : [0.30757117 0.0268466  0.66558224], Result : VIRUS
Predictions : [0.29579765 0.583772   0.12043036], Result : BACTERIA
Predictions : [9.991574e-01 1.823598e-05 8.243139e-04], Result : NORMAL
Predictions : [7.2716141e-01 5.2607415e-04 2.7231258e-01], Result : NORMAL
Predictions : [0.01847656 0.01232454 0.9691989 ], Result : VIRUS
Predictions : [9.9386770e-01 6.9697690e-04 5.4353657e-03], Result : NORMAL
Predictions : [0.04162928 0.94931877 0.00905197], Result : BACTERIA
Predictions : [0.00528428 0.3889489  0.60576683], Result : VIRUS
Predictions : [0.7911548  0.14836194 0.06048328], Result : NORMAL
Predictions : [0.02457674 0.96112865 0.01429456], Result : BACTERIA
Predictions : [0.02113586 0.97459036 0.00427381], Result : BACTERIA
Predictions : [9.9349630e-01 2.8321726e-04 6.2205065e-03], Result : NORMAL
Predictions : [3.2340148e-03 7.8501203e-04 9.9598098e-01], Result : VIRUS
Predictions : [0.3416173  0.60363233 0.05475033], Result : BACTERIA
Predictions : [0.942419   0.04311692 0.01446409], Result : NORMAL
Predictions : [0.10867417 0.19488314 0.6964427 ], Result : VIRUS
Predictions : [0.07231988 0.9033724  0.02430771], Result : BACTERIA
Predictions : [0.01202303 0.9844616  0.00351545], Result : BACTERIA
Predictions : [0.00830538 0.98582214 0.0058724 ], Result : BACTERIA
Predictions : [9.8705333e-01 1.7432787e-04 1.2772255e-02], Result : NORMAL
Predictions : [0.422412   0.16660982 0.41097817], Result : NORMAL
Predictions : [0.6037475  0.00293954 0.3933129 ], Result : NORMAL
Predictions : [0.9498738  0.00744325 0.04268299], Result : NORMAL
Predictions : [0.9868292  0.00287162 0.01029923], Result : NORMAL
Predictions : [0.05010394 0.02895181 0.9209443 ], Result : VIRUS
Predictions : [9.939482e-01 1.799604e-05 6.033809e-03], Result : NORMAL
Predictions : [0.00340025 0.9938385  0.00276131], Result : BACTERIA
Predictions : [0.8392995  0.00191174 0.15878877], Result : NORMAL
Predictions : [0.48478526 0.4436921  0.07152255], Result : NORMAL
Predictions : [0.2474721  0.02037442 0.73215353], Result : VIRUS
Predictions : [9.8938096e-01 9.7358640e-04 9.6454481e-03], Result : NORMAL
Predictions : [9.8570377e-01 2.0289040e-04 1.4093300e-02], Result : NORMAL
Predictions : [0.9506385  0.00975218 0.03960937], Result : NORMAL
